#	0.10
# Downsampling 3946 samples to 496
# Starting genetic algorithm search
gen	nevals	fitness	fitness_std	fitness_max	fitness_min	threshold
83	80	0.727825	0.00149073	0.728246	0.721627	0.10
84	80	0.726918	0.00465356	0.728246	0.703099	0.10
85	80	0.727117	0.00423737	0.728246	0.703002	0.10
86	80	0.727749	0.00174328	0.728246	0.721627	0.10
87	80	0.727084	0.00551107	0.728246	0.694263	0.10
88	80	0.727467	0.00486377	0.728246	0.697093	0.10
89	80	0.727868	0.00170646	0.728246	0.718666	0.10
90	80	0.728108	0.00086091	0.728246	0.722731	0.10
91	80	0.727698	0.00341759	0.728246	0.706356	0.10
92	80	0.72788	0.00157991	0.728246	0.719274	0.10
93	80	0.727059	0.00465677	0.728246	0.706562	0.10
94	80	0.727371	0.00546052	0.728246	0.69327	0.10
95	80	0.727509	0.003569	0.728246	0.706552	0.10
96	80	0.728024	0.0010821	0.728246	0.721627	0.10
97	80	0.727887	0.00137489	0.728246	0.721627	0.10
98	80	0.727859	0.00131227	0.728246	0.721855	0.10
99	80	0.727277	0.00409352	0.728246	0.703583	0.10
100	80	0.72808	0.00103333	0.728246	0.721627	0.10
#	Best	parameters
#	{'learning_rate':	0.007396713958159095,	'gamma':	0.8870350722646166,	'n_estimators':	15,	'max_depth':	9,	'max_leaves':	2,	'subsample':	0.6422572968379147,	'booster':	'dart'}
#	Best	score
#	0.7282457272501108
#	0.35
#	Downsampling	3742	samples	to	700
#	Starting	genetic	algorithm	search
#	gen	nevals	fitness	fitness_std	fitness_max	fitness_min
0	40	0.724522	0.0118555	0.746289	0.701666	0.35
1	80	0.733671	0.00883068	0.746123	0.717398	0.35
2	80	0.740476	0.00761085	0.753689	0.720536	0.35
3	80	0.743764	0.00563786	0.753689	0.725171	0.35
4	80	0.747379	0.00388625	0.754837	0.73885	0.35
5	80	0.74997	0.00343629	0.754837	0.744102	0.35
6	80	0.751379	0.00318322	0.754837	0.741839	0.35
7	80	0.752335	0.00408396	0.754837	0.733973	0.35
8	80	0.753151	0.0031628	0.754837	0.737588	0.35
9	80	0.753764	0.00292265	0.754902	0.742829	0.35
10	80	0.754079	0.00207916	0.754902	0.744706	0.35
11	80	0.754076	0.00251008	0.754902	0.740254	0.35
12	80	0.754132	0.00256565	0.755685	0.739908	0.35
13	80	0.754	0.00345995	0.755685	0.734173	0.35
14	80	0.754546	0.00149716	0.755685	0.74609	0.35
15	80	0.754417	0.00310521	0.755685	0.735059	0.35
16	80	0.754306	0.00236957	0.755685	0.740526	0.35
17	80	0.754436	0.0023226	0.756643	0.744672	0.35
18	80	0.754744	0.00203874	0.756643	0.745318	0.35
19	80	0.755225	0.00119691	0.756643	0.749041	0.35
20	80	0.755754	0.000764937	0.757893	0.753689	0.35
21	80	0.755554	0.00227828	0.756657	0.741953	0.35
22	80	0.756151	0.000712865	0.756657	0.753549	0.35
23	80	0.756256	0.00144413	0.756657	0.747712	0.35
24	80	0.756058	0.00179357	0.756657	0.747351	0.35
25	80	0.755764	0.00281884	0.757878	0.74422	0.35
26	80	0.756517	0.00135938	0.757878	0.748841	0.35
27	80	0.756631	0.00135489	0.757878	0.748841	0.35
28	80	0.756369	0.00211504	0.757878	0.744879	0.35
29	80	0.756804	0.00118578	0.757878	0.751309	0.35
30	80	0.757032	0.00202	0.758265	0.744913	0.35
31	80	0.757458	0.0014273	0.759094	0.749167	0.35
32	80	0.757548	0.00217241	0.759094	0.748233	0.35
33	80	0.75775	0.0019213	0.759094	0.748982	0.35
34	80	0.758272	0.00120757	0.759094	0.752991	0.35
35	80	0.758518	0.000994432	0.759094	0.753733	0.35
36	80	0.758498	0.00139352	0.759094	0.75177	0.35
37	80	0.758571	0.00129014	0.759094	0.753184	0.35
38	80	0.758515	0.0022928	0.759094	0.746404	0.35
39	80	0.758225	0.00312229	0.759689	0.746404	0.35
40	80	0.758479	0.0030392	0.759689	0.744004	0.35
41	80	0.758961	0.00101045	0.759689	0.754654	0.35
42	80	0.758468	0.00220587	0.759689	0.747575	0.35
43	80	0.758882	0.00146713	0.759689	0.751096	0.35
44	80	0.759073	0.00117719	0.759689	0.754095	0.35
45	80	0.759428	0.00082287	0.759689	0.75561	0.35
46	80	0.759102	0.00195733	0.759689	0.748875	0.35
47	80	0.759263	0.0021238	0.759689	0.746357	0.35
48	80	0.759611	0.00048344	0.759689	0.756592	0.35
49	80	0.759604	0.000528046	0.759689	0.756307	0.35
50	80	0.759577	0.000699267	0.759689	0.75521	0.35
51	80	0.759288	0.00184984	0.759689	0.748597	0.35
52	80	0.759081	0.00257523	0.759689	0.744147	0.35
53	80	0.758833	0.00259084	0.759689	0.746728	0.35
54	80	0.759226	0.00131773	0.759689	0.754654	0.35
55	80	0.758652	0.00318948	0.759689	0.745054	0.35
56	80	0.758539	0.00349043	0.759689	0.742954	0.35
57	80	0.759358	0.00118405	0.759689	0.754345	0.35
58	80	0.758907	0.00239651	0.759689	0.746744	0.35
59	80	0.759137	0.00186488	0.759689	0.749681	0.35
60	80	0.759587	0.000634377	0.759689	0.755626	0.35
61	80	0.759395	0.00141361	0.759689	0.751142	0.35
62	80	0.759134	0.00248048	0.759689	0.744147	0.35
63	80	0.759197	0.00203737	0.759689	0.747565	0.35
64	80	0.759437	0.000894969	0.759689	0.755722	0.35
65	80	0.759608	0.000502149	0.759689	0.756472	0.35
66	80	0.759563	0.000786051	0.759689	0.754654	0.35
67	80	0.759563	0.000786051	0.759689	0.754654	0.35
68	80	0.758836	0.00291653	0.759689	0.744147	0.35
69	80	0.759408	0.00101821	0.759689	0.754654	0.35
70	80	0.75936	0.00088995	0.759689	0.756472	0.35
71	80	0.759297	0.00220544	0.759689	0.745614	0.35
72	80	0.759689	0	0.759689	0.759689	0.35
73	80	0.759194	0.00215846	0.759689	0.746484	0.35
74	80	0.759248	0.00148702	0.759689	0.752617	0.35
75	80	0.759172	0.00249177	0.759689	0.744147	0.35
76	80	0.759487	0.000879249	0.759689	0.755655	0.35
77	80	0.759315	0.00180093	0.759689	0.748778	0.35
78	80	0.758848	0.00310167	0.75972	0.74454	0.35
79	80	0.759136	0.00246808	0.75972	0.74655	0.35
80	80	0.758991	0.00247189	0.75972	0.74655	0.35
81	80	0.75891	0.00280214	0.75972	0.74655	0.35
82	80	0.759222	0.00247103	0.75972	0.744147	0.35
83	80	0.759637	0.000376435	0.75972	0.757288	0.35
84	80	0.759435	0.00139652	0.75972	0.750876	0.35
85	80	0.759535	0.000723768	0.75972	0.755287	0.35
86	80	0.759127	0.00280104	0.75972	0.742737	0.35
87	80	0.759474	0.0010377	0.75972	0.754654	0.35
88	80	0.759402	0.00140298	0.75972	0.752163	0.35
89	80	0.759112	0.00188101	0.75972	0.75	0.35
90	80	0.759323	0.001778	0.75972	0.75	0.35
91	80	0.75972	0	0.75972	0.75972	0.35
92	80	0.75972	0	0.75972	0.75972	0.35
93	80	0.759492	0.0010014	0.75972	0.754654	0.35
94	80	0.75972	0	0.75972	0.75972	0.35
95	80	0.758844	0.00297647	0.75972	0.744807	0.35
96	80	0.758702	0.00320544	0.75972	0.742766	0.35
97	80	0.758707	0.00330888	0.75972	0.744147	0.35
98	80	0.759466	0.000968111	0.75972	0.754654	0.35
99	80	0.759287	0.00186341	0.75972	0.748628	0.35
100	80	0.759452	0.00105429	0.75972	0.754654	0.35
#	Best	parameters	
#	{'learning_rate':	0.014197473746727186,	'gamma':	0.9268931377339497,	'n_estimators':	33,	'max_depth':	5,	'max_leaves':	6,	'subsample':	0.3150439646840354,	'booster':	'dart'}
#	Best	score
#	0.7607518100826807
#	0.05
#	Downsampling	4099	samples	to	343
#	Starting	genetic	algorithm	search
#	gen	nevals	fitness	fitness_std	fitness_max	fitness_min
0	40	0.667751	0.0148072	0.704777	0.620959	0.05
1	80	0.685222	0.011809	0.705672	0.661229	0.05
2	80	0.692953	0.0103575	0.708455	0.672444	0.05
3	80	0.70057	0.00689328	0.715724	0.680548	0.05
4	80	0.705179	0.0060697	0.717641	0.69099	0.05
5	80	0.709203	0.00577559	0.717641	0.69992	0.05
6	80	0.711238	0.0063725	0.72241	0.687225	0.05
7	80	0.713307	0.00496184	0.723963	0.697659	0.05
8	80	0.715402	0.00421432	0.723173	0.702418	0.05
9	80	0.716635	0.00520388	0.720232	0.68904	0.05
10	80	0.718607	0.00279109	0.724274	0.707482	0.05
11	80	0.719526	0.00275523	0.724274	0.705536	0.05
12	80	0.720418	0.00329145	0.727391	0.704585	0.05
13	80	0.721613	0.00256464	0.72791	0.716228	0.05
14	80	0.722632	0.00343514	0.72791	0.709465	0.05
15	80	0.724603	0.00216277	0.72791	0.720232	0.05
16	80	0.725729	0.00168227	0.72881	0.722043	0.05
17	80	0.726405	0.00260901	0.72881	0.714806	0.05
18	80	0.72752	0.00168409	0.72881	0.718208	0.05
19	80	0.727584	0.00226087	0.72881	0.71444	0.05
20	80	0.727712	0.00210012	0.729191	0.71649	0.05
21	80	0.727971	0.00165352	0.729191	0.718805	0.05
22	80	0.726433	0.00547443	0.729191	0.705279	0.05
23	80	0.727818	0.00275378	0.729191	0.712698	0.05
24	80	0.728424	0.00151938	0.729191	0.7206	0.05
25	80	0.728818	0.000363009	0.729191	0.727074	0.05
26	80	0.728451	0.00253358	0.729191	0.71276	0.05
27	80	0.728924	0.000174412	0.729191	0.72881	0.05
28	80	0.72915	0.000389144	0.731353	0.72881	0.05
29	80	0.729378	0.00066578	0.731353	0.72881	0.05
30	80	0.729785	0.000965577	0.731353	0.729191	0.05
31	80	0.730218	0.00107989	0.731353	0.729191	0.05
32	80	0.73065	0.00101285	0.731353	0.729191	0.05
33	80	0.730283	0.00335254	0.731353	0.710172	0.05
34	80	0.729759	0.00535539	0.731353	0.705279	0.05
35	80	0.730406	0.00346928	0.731353	0.715699	0.05
36	80	0.730648	0.00321133	0.731353	0.713103	0.05
37	80	0.731353	0	0.731353	0.731353	0.05
38	80	0.731262	0.00056998	0.731353	0.727702	0.05
39	80	0.731262	0.00056998	0.731353	0.727702	0.05
40	80	0.731353	0	0.731353	0.731353	0.05
41	80	0.730919	0.00190513	0.731353	0.721626	0.05
42	80	0.731163	0.00118982	0.731353	0.723732	0.05
43	80	0.730254	0.00411384	0.731353	0.711366	0.05
44	80	0.731353	0	0.731353	0.731353	0.05
45	80	0.731353	0	0.731353	0.731353	0.05
46	80	0.731353	0	0.731353	0.731353	0.05
47	80	0.730735	0.00326913	0.731353	0.710713	0.05
48	80	0.730589	0.00476906	0.731353	0.700807	0.05
49	80	0.731353	0	0.731353	0.731353	0.05
50	80	0.731353	0	0.731353	0.731353	0.05
51	80	0.731353	0	0.731353	0.731353	0.05
52	80	0.731262	0.00056998	0.731353	0.727702	0.05
53	80	0.730788	0.0029619	0.731353	0.712698	0.05
54	80	0.731097	0.00116245	0.731353	0.72477	0.05
55	80	0.731353	0	0.731353	0.731353	0.05
56	80	0.730379	0.00370141	0.731353	0.714115	0.05
57	80	0.730275	0.0038338	0.731353	0.715342	0.05
58	80	0.73048	0.00398514	0.731353	0.708596	0.05
59	80	0.729647	0.00566728	0.731353	0.702128	0.05
60	80	0.73042	0.00329132	0.731353	0.717507	0.05
61	80	0.730892	0.00288107	0.731353	0.712899	0.05
62	80	0.731049	0.00189925	0.731353	0.719188	0.05
63	80	0.730677	0.00422505	0.731353	0.704291	0.05
64	80	0.730713	0.00323524	0.731353	0.711225	0.05
65	80	0.731202	0.000943717	0.731353	0.725308	0.05
66	80	0.731353	0	0.731353	0.731353	0.05
67	80	0.731353	0	0.731353	0.731353	0.05
68	80	0.731353	0	0.731353	0.731353	0.05
69	80	0.729852	0.00790382	0.731353	0.681505	0.05
70	80	0.731353	0	0.731353	0.731353	0.05
71	80	0.731353	0	0.731353	0.731353	0.05
72	80	0.731125	0.00142738	0.731353	0.722211	0.05
73	80	0.731353	0	0.731353	0.731353	0.05
74	80	0.730584	0.00480373	0.731353	0.700585	0.05
75	80	0.730028	0.0054403	0.731353	0.703205	0.05
76	80	0.730864	0.00305545	0.731353	0.711783	0.05
77	80	0.731353	0	0.731353	0.731353	0.05
78	80	0.731069	0.00177257	0.731353	0.72	0.05
79	80	0.7301	0.00561719	0.731353	0.700412	0.05
80	80	0.730977	0.00189273	0.731353	0.719606	0.05
81	80	0.731049	0.0014601	0.731353	0.722522	0.05
82	80	0.730675	0.00266878	0.731353	0.717309	0.05
83	80	0.731109	0.00152223	0.731353	0.721603	0.05
84	80	0.730203	0.00501327	0.731353	0.708351	0.05
85	80	0.730494	0.00396555	0.731353	0.708351	0.05
86	80	0.730996	0.00222965	0.731353	0.717072	0.05
87	80	0.730649	0.00345442	0.731353	0.710172	0.05
88	80	0.730894	0.0028652	0.731353	0.713001	0.05
89	80	0.731081	0.00169844	0.731353	0.720474	0.05
90	80	0.730576	0.0048517	0.731353	0.700277	0.05
91	80	0.729663	0.00741109	0.731353	0.693951	0.05
92	80	0.731353	0	0.731353	0.731353	0.05
93	80	0.731353	0	0.731353	0.731353	0.05
94	80	0.731353	0	0.731353	0.731353	0.05
95	80	0.731353	0	0.731353	0.731353	0.05
96	80	0.729651	0.00786581	0.731353	0.682691	0.05
97	80	0.73092	0.00189	0.731353	0.722265	0.05
98	80	0.731353	0	0.731353	0.731353	0.05
99	80	0.731353	0	0.731353	0.731353	0.05
100	80	0.7311	0.00158298	0.731353	0.721214	0.05
#	Best	parameters
#	{'learning_rate':	0.013972051435115884,	'gamma':	0.8050990380516317,	'n_estimators':	102,	'max_depth':	1,	'max_leaves':	10,	'subsample':	0.6502192542342633,	'booster':	'dart'}
#	Best	score
#	0.7313531016024459
#	1.00
#	Downsampling	3663	samples	to	779
#	Starting	genetic	algorithm	search
#	gen	nevals	fitness	fitness_std	fitness_max	fitness_min
0	40	0.730421	0.00866625	0.745511	0.711975	1.00
1	80	0.738671	0.00562212	0.749224	0.723616	1.00
2	80	0.742292	0.00415747	0.750687	0.733385	1.00
3	80	0.744018	0.00275624	0.750687	0.738449	1.00
4	80	0.746022	0.00313096	0.751611	0.739398	1.00
5	80	0.747336	0.00248005	0.751611	0.74316	1.00
6	80	0.747474	0.00260352	0.750687	0.739226	1.00
7	80	0.748568	0.00228903	0.750916	0.742719	1.00
8	80	0.749566	0.00209461	0.752164	0.743968	1.00
9	80	0.750613	0.00175446	0.753262	0.74201	1.00
10	80	0.751137	0.00182618	0.75492	0.741835	1.00
11	80	0.751924	0.00240416	0.758391	0.742707	1.00
12	80	0.752404	0.00351323	0.758391	0.738858	1.00
13	80	0.754147	0.00303556	0.758834	0.744228	1.00
14	80	0.75487	0.00314424	0.758834	0.744621	1.00
15	80	0.755917	0.00341716	0.758834	0.744621	1.00
16	80	0.755988	0.00410427	0.758834	0.743614	1.00
17	80	0.75715	0.00367005	0.758834	0.740408	1.00
18	80	0.757875	0.00256594	0.758834	0.747914	1.00
19	80	0.757013	0.00440789	0.758834	0.740249	1.00
20	80	0.757085	0.00429411	0.758834	0.742927	1.00
21	80	0.755751	0.00649035	0.758834	0.735857	1.00
22	80	0.755506	0.00660548	0.758834	0.737999	1.00
23	80	0.758175	0.00272538	0.758834	0.746144	1.00
24	80	0.757834	0.00351991	0.758834	0.741957	1.00
25	80	0.758111	0.00349546	0.759938	0.742931	1.00
26	80	0.758905	0.0010068	0.759938	0.753284	1.00
27	80	0.75853	0.00268145	0.759938	0.745164	1.00
28	80	0.758994	0.00346306	0.759938	0.737615	1.00
29	80	0.759037	0.00294281	0.759938	0.742692	1.00
30	80	0.759218	0.00337695	0.759938	0.738581	1.00
31	80	0.758955	0.00352171	0.759938	0.738581	1.00
32	80	0.759591	0.00128014	0.759938	0.754111	1.00
33	80	0.759526	0.00132745	0.759938	0.754111	1.00
34	80	0.759294	0.00221232	0.759938	0.74802	1.00
35	80	0.759357	0.00284716	0.759938	0.742508	1.00
36	80	0.759625	0.00190044	0.759938	0.747762	1.00
37	80	0.75891	0.00360815	0.760404	0.740714	1.00
38	80	0.759807	0.00105796	0.760404	0.754111	1.00
39	80	0.760089	0.000218138	0.760404	0.759938	1.00
40	80	0.759813	0.00243282	0.760404	0.744687	1.00
41	80	0.759961	0.00232194	0.760404	0.745498	1.00
42	80	0.759578	0.00330531	0.760404	0.744202	1.00
43	80	0.759403	0.00358785	0.760404	0.744687	1.00
44	80	0.758521	0.00518242	0.760404	0.737449	1.00
45	80	0.758803	0.00437615	0.760404	0.744687	1.00
46	80	0.760063	0.00156447	0.760404	0.751395	1.00
47	80	0.759174	0.00360267	0.760404	0.743508	1.00
48	80	0.760011	0.0024538	0.760404	0.744687	1.00
49	80	0.759905	0.00227577	0.760654	0.747758	1.00
50	80	0.760429	7.4967e-05	0.760654	0.760404	1.00
51	80	0.759179	0.00428022	0.760654	0.741586	1.00
52	80	0.759506	0.00343499	0.760654	0.744687	1.00
53	80	0.759732	0.00275604	0.760654	0.745879	1.00
54	80	0.758876	0.00402264	0.760654	0.747199	1.00
55	80	0.760331	0.00118385	0.760654	0.752977	1.00
56	80	0.760266	0.00202569	0.760654	0.747633	1.00
57	80	0.759963	0.00340807	0.760654	0.739041	1.00
58	80	0.759924	0.00262471	0.760654	0.746422	1.00
59	80	0.759548	0.00355304	0.760654	0.744747	1.00
60	80	0.760298	0.00125395	0.760654	0.755419	1.00
61	80	0.760119	0.00271026	0.760654	0.743773	1.00
62	80	0.759516	0.00382158	0.760654	0.740359	1.00
63	80	0.759916	0.00322023	0.760654	0.745221	1.00
64	80	0.759621	0.00364189	0.760654	0.745811	1.00
65	80	0.760654	0	0.760654	0.760654	1.00
66	80	0.760335	0.00198716	0.760654	0.747926	1.00
67	80	0.760397	0.00160228	0.760654	0.750391	1.00
68	80	0.760446	0.00129696	0.760654	0.752346	1.00
69	80	0.760351	0.00188813	0.760654	0.74856	1.00
70	80	0.760351	0.00188813	0.760654	0.74856	1.00
71	80	0.760654	0	0.760654	0.760654	1.00
72	80	0.760292	0.00226131	0.760654	0.74617	1.00
73	80	0.759715	0.00332803	0.760654	0.746119	1.00
74	80	0.759509	0.00351623	0.760654	0.746486	1.00
75	80	0.759754	0.00400135	0.760654	0.739067	1.00
76	80	0.760654	0	0.760654	0.760654	1.00
77	80	0.76035	0.00136853	0.760654	0.753017	1.00
78	80	0.759441	0.00458176	0.760654	0.736114	1.00
79	80	0.759949	0.00307341	0.760654	0.746536	1.00
80	80	0.759865	0.00345455	0.760654	0.743342	1.00
81	80	0.760259	0.00175242	0.760654	0.749855	1.00
82	80	0.760055	0.00261082	0.760654	0.748663	1.00
83	80	0.760354	0.00186853	0.760654	0.748685	1.00
84	80	0.759429	0.00473158	0.760654	0.736344	1.00
85	80	0.759935	0.00313403	0.760654	0.746274	1.00
86	80	0.759713	0.00339917	0.760654	0.745836	1.00
87	80	0.759999	0.00286765	0.760654	0.746274	1.00
88	80	0.760199	0.00284089	0.760654	0.742457	1.00
89	80	0.758805	0.00498607	0.760654	0.740212	1.00
90	80	0.760194	0.00173519	0.760654	0.751255	1.00
91	80	0.759633	0.00303618	0.760654	0.746274	1.00
92	80	0.760368	0.00124598	0.760654	0.754937	1.00
93	80	0.760178	0.0019137	0.760654	0.749855	1.00
94	80	0.760511	0.000892558	0.760654	0.754937	1.00
95	80	0.759389	0.00446503	0.760654	0.742457	1.00
96	80	0.759211	0.00458817	0.760654	0.739375	1.00
97	80	0.760176	0.00210058	0.760654	0.749855	1.00
98	80	0.760355	0.00186675	0.760654	0.748697	1.00
99	80	0.75963	0.00318106	0.760654	0.746354	1.00
100	80	0.759419	0.00394919	0.760654	0.742184	1.00
#	Best	parameters
#	{'learning_rate':	0.05630002712330792,	'gamma':	0.4690305513808913,	'n_estimators':	55,	'max_depth':	4,	'max_leaves':	8,	'subsample':	0.12165517640445933,	'booster':	'dart'}
#	Best	score
#	0.7619552885542706
